qnrnumb;visit;howoft;likenet;research;safeweb;goodtool;notouse;another;likeproc;hassle;visits;friend;billbrd;banner;surfing;sengine;tv;theater;nwspaper;other;easyuse;helpful;positive;useonly;influenc;secure;didbuy;better;howmuch;safe;wanttest;price;tradein;handson;checkit;noweeks;worth;sticker;actual;age;marital;children;educate;race;income;gender
1;Yes;Almost never;Disagree;Neutral;Disagree;Strongly Disagree;Agree;Agree;Strongly Disagree;Strongly Agree;8;No;No;No;Yes;No;No;Yes;No;Yes;Disagree;Disagree;Agree;Strongly Disagree;Agree;Strongly Agree;Yes;Yes;Somewhat better;Strongly Disagree;Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;1;11000;15000;12000;46;Single; ;Some college;Caucasian;$80,000 - $95,000;Male
2;Yes;Occasionally;Neutral;Agree;Neutral;Neutral;Strongly Agree;Neutral;Strongly Disagree;Strongly Disagree;5;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Strongly Agree;Disagree;Strongly Disagree;Agree;Neutral;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neutral;Strongly Disagree;2;15000;20000;18000;22;Single; ;Graduate degree;Caucasian;Over $110,000;Female
3;Yes;Occasionally;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Strongly Disagree;Strongly Agree;10;No;No;No;Yes;No;No;No;No;No;Strongly Agree;Disagree;Agree;Strongly Disagree;Neutral;Neutral;No; ; ;Disagree;Agree;Agree;Strongly Disagree;Strongly Agree;Disagree;4;7000;12000;9000;31;Divorced;2;Undergraduate degree;Caucasian;Under $35,000;Female
4;Yes;Occasionally;Neutral;Agree;Neutral;Disagree;Agree;Disagree;Strongly Disagree;Strongly Agree;4;No;No;No;No;Yes;No;No;No;No;Neutral;Strongly Agree;Agree;Strongly Disagree;Agree;Agree;Yes;Yes;A great deal better;Agree;Agree;Agree;Strongly Disagree;Neutral;Neutral;5;2000;10000;7000;37;Single; ;High school;Caucasian;$50,000 - $65,000;Male
5;Yes;Never;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Neutral;Strongly Disagree;Agree;Strongly Agree;1;Yes;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Agree;Agree;Strongly Disagree;Strongly Agree;Agree;Yes;Yes;Much better;Agree;Agree;Strongly Disagree;Strongly Disagree;Agree;Neutral;1; ;11000;8000;36;Married;1;Less than high school;Hispanic;$35,000 - $50,000;Male
6;Yes;Occasionally;Neutral;Agree;Neutral;Agree;Disagree;Disagree;Strongly Disagree;Strongly Disagree;7;No;No;Yes;No;No;Yes;No;No;No;Neutral;Disagree;Strongly Disagree;Disagree;Agree;Agree;No; ; ;Strongly Disagree;Agree;Strongly Disagree;Strongly Agree;Neutral;Strongly Disagree;1;18000;21000;20000;36;Married;0;Graduate degree;Asian;$95,000 - $110,000;Male
7;Yes;Almost never;Strongly Disagree;Neutral;Disagree;Disagree;Strongly Agree;Disagree;Strongly Disagree;Strongly Disagree;8;No;No;No;Yes;No;No;No;No;No;Strongly Disagree;Agree;Agree;Disagree;Agree;Agree;No; ; ;Agree;Agree;Strongly Disagree;Neutral;Neutral;Strongly Disagree;5;15000;20000;19000;44;Divorced;3;High school;Asian;$80,000 - $95,000;Male
8;Yes;Occasionally;Agree;Neutral;Neutral;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Agree;6;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Disagree;Disagree;Disagree;Agree;Strongly Agree;No; ; ;Disagree;Strongly Agree;Agree;Neutral;Strongly Agree;Strongly Disagree;1;10000;17000;16000;40;Married;0;Other;Asian;Over $110,000;Male
9;Yes;Often;Neutral;Strongly Agree;Agree;Strongly Agree;Disagree;Strongly Disagree;Disagree;Strongly Agree;12;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Agree;Agree;Strongly Disagree;Neutral;Strongly Agree;No; ; ;Disagree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;1;21000;26000;24000;47;Divorced;1;High school;Asian;$80,000 - $95,000;Male
10;Yes;Often;Agree;Agree;Agree;Agree;Neutral;Neutral;Strongly Disagree;Agree;11;No;No;No;Yes;No;No;No;No;No;Strongly Agree;Neutral;Neutral;Neutral;Agree;Agree;No; ; ;Strongly Agree;Strongly Agree;Disagree;Strongly Agree;Neutral;Disagree;9;9000;14000;12000;27;Single; ;Graduate degree;Hispanic;Under $35,000;Male
11;Yes;Very often;Strongly Agree;Neutral;Strongly Agree;Strongly Agree;Strongly Disagree;Disagree;Strongly Disagree;Strongly Agree;11;No;No;Yes;Yes;Yes;No;No;No;No;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Yes;Yes;A great deal better;Strongly Agree;Agree;Strongly Disagree;Disagree;Neutral;Agree;2; ;21000;18000;25;Single; ;High school;Asian;$65,000 - $80,000;Male
12;Yes;Often;Agree;Agree;Agree;Strongly Agree;Neutral;Strongly Disagree;Neutral;Strongly Disagree;10;No;No;No;Yes;No;No;No;No;No;Strongly Agree;Agree;Disagree;Disagree;Strongly Agree;Agree;No; ; ;Agree;Agree;Strongly Agree;Agree;Disagree;Disagree;1;8000;12000;10000;33;Single; ;High school;Caucasian;$65,000 - $80,000;Male
13;Yes;Occasionally;Neutral;Agree;Neutral;Neutral;Agree;Neutral;Disagree;Agree;5;No;No;No;No;Yes;No;No;No;No;Agree;Strongly Disagree;Disagree;Agree;Neutral;Agree;No; ; ;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;Neutral;Neutral;2;8000;14000;11000;26;Single; ;High school;Caucasian;$65,000 - $80,000;Female
14;Yes;Almost never;Disagree;Disagree;Disagree;Strongly Disagree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Agree;5;No;No;Yes;Yes;Yes;No;No;No;No;Agree;Strongly Disagree;Neutral;Strongly Disagree;Agree;Strongly Agree;No; ; ;Agree;Agree;Strongly Agree;Strongly Disagree;Agree;Strongly Agree;5;7000;11000;8000;33;Single; ;Undergraduate degree;Caucasian;$80,000 - $95,000;Male
15;Yes;Occasionally;Neutral;Neutral;Neutral;Neutral;Strongly Agree;Neutral;Strongly Disagree;Strongly Disagree;10;No;No;No;No;No;Yes;No;No;No;Agree;Neutral;Neutral;Disagree;Agree;Strongly Agree;No; ; ;Neutral;Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Neutral;5; ;10000;8000;27;Married;1;Some college;Caucasian;$35,000 - $50,000;Male
16;Yes;Almost never;Disagree;Disagree;Disagree;Strongly Disagree;Neutral;Neutral;Disagree;Agree;3;No;No;No;Yes;No;Yes;No;No;No;Strongly Agree;Neutral;Neutral;Disagree;Agree;Strongly Agree;No; ; ;Agree;Strongly Agree;Agree;Disagree;Strongly Agree;Neutral;7;14000;17000;15000;45;Divorced;1;Less than high school;Caucasian;$65,000 - $80,000;Male
17;Yes;Very often;Agree;Neutral;Strongly Agree;Neutral;Neutral;Strongly Disagree;Strongly Disagree;Neutral;10;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Strongly Agree;Neutral;Strongly Disagree;Strongly Agree;Strongly Agree;Yes;Yes;Somewhat better;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Neutral;Disagree;1;5000;10000;7000;23;Single; ;Some college;Caucasian;$80,000 - $95,000;Male
18;Yes;Almost never;Disagree;Disagree;Disagree;Strongly Disagree;Strongly Agree;Neutral;Disagree;Strongly Agree;4;No;No;Yes;Yes;Yes;No;No;No;No;Disagree;Disagree;Disagree;Agree;Neutral;Neutral;No; ; ;Agree;Agree;Strongly Agree;Strongly Agree;Agree;Neutral;2;14000;20000;19000;35;Married;2;Undergraduate degree;Caucasian;$80,000 - $95,000;Female
