qnrnumb;visit;howoft;likenet;research;safeweb;goodtool;notouse;another;likeproc;hassle;visits;friend;billbrd;banner;surfing;sengine;tv;theater;nwspaper;other;easyuse;helpful;positive;useonly;influenc;secure;didbuy;better;howmuch;safe;wanttest;price;tradein;handson;checkit;noweeks;worth;sticker;actual;age;marital;children;educate;race;income;gender
1;1;2;2;3;2;1;4;4;1;5;8;0;0;0;1;0;0;1;0;1;2;2;4;1;4;5;1;1;3;1;4;1;1;5;1;1;11000;15000;12000;46;1; ;3;1;5;1
2;1;3;3;4;3;3;5;3;1;1;5;0;0;0;1;1;0;0;0;0;5;5;2;1;4;3;2; ; ;5;5;5;4;3;1;2;15000;20000;18000;22;1; ;5;1;7;2
3;1;3;3;3;3;3;3;3;1;5;10;0;0;0;1;0;0;0;0;0;5;2;4;1;3;3;2; ; ;2;4;4;1;5;2;4;7000;12000;9000;31;4;2;4;1;1;2
4;1;3;3;4;3;2;4;2;1;5;4;0;0;0;0;1;0;0;0;0;3;5;4;1;4;4;1;1;1;4;4;4;1;3;3;5;2000;10000;7000;37;1; ;2;1;3;1
5;1;1;1;1;1;1;3;1;4;5;1;1;0;0;1;1;0;0;0;0;5;4;4;1;5;4;1;1;2;4;4;1;1;4;3;1; ;11000;8000;36;2;1;1;5;2;1
6;1;3;3;4;3;4;2;2;1;1;7;0;0;1;0;0;1;0;0;0;3;2;1;2;4;4;2; ; ;1;4;1;5;3;1;1;18000;21000;20000;36;2;0;5;3;6;1
7;1;2;1;3;2;2;5;2;1;1;8;0;0;0;1;0;0;0;0;0;1;4;4;2;4;4;2; ; ;4;4;1;3;3;1;5;15000;20000;19000;44;4;3;2;3;5;1
8;1;3;4;3;3;4;1;1;1;4;6;0;0;0;0;1;0;0;0;0;5;2;2;2;4;5;2; ; ;2;5;4;3;5;1;1;10000;17000;16000;40;2;0;6;3;7;1
9;1;4;3;5;4;5;2;1;2;5;12;0;0;0;0;1;0;0;0;0;5;4;4;1;3;5;2; ; ;2;5;1;5;5;1;1;21000;26000;24000;47;4;1;2;3;5;1
10;1;4;4;4;4;4;3;3;1;4;11;0;0;0;1;0;0;0;0;0;5;3;3;3;4;4;2; ; ;5;5;2;5;3;2;9;9000;14000;12000;27;1; ;5;5;1;1
11;1;5;5;3;5;5;1;2;1;5;11;0;0;1;1;1;0;0;0;0;5;5;4;5;5;5;1;1;1;5;4;1;2;3;4;2; ;21000;18000;25;1; ;2;3;4;1
12;1;4;4;4;4;5;3;1;3;1;10;0;0;0;1;0;0;0;0;0;5;4;2;2;5;4;2; ; ;4;4;5;4;2;2;1;8000;12000;10000;33;1; ;2;1;4;1
13;1;3;3;4;3;3;4;3;2;4;5;0;0;0;0;1;0;0;0;0;4;1;2;4;3;4;2; ; ;5;5;4;1;3;3;2;8000;14000;11000;26;1; ;2;1;4;2
14;1;2;2;2;2;1;3;1;1;5;5;0;0;1;1;1;0;0;0;0;4;1;3;1;4;5;2; ; ;4;4;5;1;4;5;5;7000;11000;8000;33;1; ;4;1;5;1
15;1;3;3;3;3;3;5;3;1;1;10;0;0;0;0;0;1;0;0;0;4;3;3;2;4;5;2; ; ;3;4;1;5;5;3;5; ;10000;8000;27;2;1;3;1;2;1
16;1;2;2;2;2;1;3;3;2;4;3;0;0;0;1;0;1;0;0;0;5;3;3;2;4;5;2; ; ;4;5;4;2;5;3;7;14000;17000;15000;45;4;1;1;1;4;1
17;1;5;4;3;5;3;3;1;1;3;10;0;0;0;0;1;0;0;0;0;5;5;3;1;5;5;1;1;3;1;5;1;1;3;2;1;5000;10000;7000;23;1; ;3;1;5;1
18;1;2;2;2;2;1;5;3;2;5;4;0;0;1;1;1;0;0;0;0;2;2;2;4;3;3;2; ; ;4;4;5;5;4;3;2;14000;20000;19000;35;2;2;4;1;5;2
19;1;5;1;3;5;4;1;4;2;1;11;1;0;0;1;1;1;0;0;0;5;5;4;4;3;5;2; ; ;4;4;2;1;5;2;1;7000;13000;12000;27;2;2;3;2;2;1
20;1;3;4;4;3;3;1;3;1;3;6;0;1;1;0;0;0;0;0;0;4;5;4;1;4;4;2; ; ;5;4;1;3;4;1;4;4000;10000;8000;34;1; ;6;1;2;1
21;1;3;2;4;3;3;1;2;2;5;4;0;0;0;0;0;0;0;0;0;5;4;4;4;3;4;2; ; ;5;4;5;5;5;1;2;20000;25000;23000;23;2;1;5;1;7;2
22;1;3;3;4;3;4;2;2;1;3;10;0;0;0;1;1;1;0;0;0;1;3;1;1;4;5;2; ; ;5;5;1;4;5;3;5;6000;10000;9000;56;2;2;4;1;7;1
23;1;2;2;2;2;1;5;3;2;1;3;0;0;0;0;0;0;0;0;0;3;3;3;1;3;4;2; ; ;2;5;5;2;4;1;5;14000;21000;19000;41;4;1;2;1;5;1
24;1;4;4;5;4;4;5;1;1;5;10;0;0;1;0;0;0;0;0;0;4;4;3;3;4;5;2; ; ;1;4;1;3;4;1;7;13000;18000;16000;25;2;1;5;3;6;1
25;1;5;5;3;5;4;1;5;3;1;10;0;0;0;0;1;0;0;0;0;5;1;3;2;4;4;2; ; ;4;4;1;1;4;1;1;11000;16000;14000;30;2;2;4;1;6;1
26;1;5;4;5;5;3;5;2;3;5;11;0;0;0;0;1;1;0;0;0;4;4;3;3;4;5;2; ; ;5;4;1;3;5;2;3;3000;10000;8000;26;1; ;3;1;4;1
27;1;3;3;3;3;3;3;3;1;4;7;0;0;0;1;0;0;0;0;0;5;3;3;3;4;4;2; ; ;5;5;1;1;5;1;1;2000;10000;8000;34;1; ;1;1;3;1
28;1;4;5;4;4;4;2;3;4;3;12;0;0;0;1;1;0;0;0;0;4;4;2;1;4;3;2; ; ;1;5;2;1;5;1;2;8000;13000;11000;41;2;2;6;2;7;2
29;1;2;2;3;2;1;2;2;5;1;6;0;0;0;0;1;0;0;0;0;1;3;3;1;3;5;2; ; ;3;3;4;1;5;1;5;10000;16000;15000;33;2;0;5;1;6;1
30;1;2;2;2;2;2;3;1;2;4;6;0;0;1;1;1;1;0;0;0;4;1;3;3;5;4;1;1;3;5;4;1;4;4;1;3;5000;10000;7000;34;5;2;2;2;3;1
31;1;2;2;3;2;3;5;3;2;3;6;0;0;1;1;0;0;0;0;0;1;4;2;3;4;5;2; ; ;2;5;4;1;4;3;1; ;10000;8000;36;1; ;1;1;1;1
32;1;3;3;3;3;2;5;3;5;4;8;0;0;0;0;0;0;0;0;0;1;5;4;1;4;5;2; ; ;5;5;3;5;2;1;1;5000;11000;9000;26;2;2;1;2;2;1
33;1;3;3;3;3;1;5;1;1;5;7;0;0;0;1;1;0;1;0;0;3;4;2;2;3;5;2; ; ;3;4;1;1;5;1;1;7000;11000;9000;38;5;1;3;3;5;1
34;1;4;4;5;4;4;3;1;1;5;11;0;0;0;1;1;0;0;0;0;5;2;2;1;4;4;2; ; ;5;5;1;3;5;3;5;5000;10000;7000;46;2;2;1;1;3;2
35;1;1;1;2;1;2;5;2;3;1;4;0;0;0;1;1;1;0;0;0;5;4;3;2;4;5;2; ; ;4;5;2;2;5;4;1;10000;14000;12000;36;1; ;3;1;5;1
36;1;3;3;4;3;1;4;1;2;4;6;0;0;0;0;1;1;0;0;0;5;4;3;1;4;4;2; ; ;2;5;5;3;3;4;1;14000;19000;17000;32;1; ;3;1;4;1
37;1;2;2;2;2;3;1;3;1;3;4;0;0;1;0;0;1;0;0;0;5;3;3;2;4;5;2; ; ;4;5;1;4;5;1;4;12000;16000;14000;43;2;1;4;2;7;1
38;1;4;4;5;4;3;1;2;3;5;7;0;0;0;0;1;0;0;0;0;2;4;3;2;3;5;2; ; ;1;4;1;2;5;1;4;21000;27000;25000;36;2;0;6;1;7;1
39;1;4;4;5;4;4;1;1;1;4;12;0;0;1;0;1;0;0;0;0;4;2;4;4;4;4;2; ; ;2;5;5;1;5;1;1;4000;10000;8000;23;1; ;4;1;5;1
40;1;2;2;2;2;2;3;3;2;5;3;0;0;1;0;0;1;0;0;0;5;3;2;1;4;5;2; ; ;2;5;1;5;5;1;2;6000;10000;8000;29;1; ;6;2;1;2
41;1;1;1;2;1;1;5;3;4;5;3;0;0;0;0;1;0;0;0;0;5;3;1;1;4;4;2; ; ;5;5;4;5;5;2;6;14000;19000;17000;41;4;3;3;5;6;1
42;1;3;3;3;3;1;2;1;1;3;7;0;0;0;0;0;1;0;0;0;3;4;4;3;4;5;2; ; ;5;5;2;2;5;1;4;5000;10000;8000;23;1; ;3;5;4;2
43;1;4;4;4;4;4;3;3;4;5;11;1;0;1;1;1;0;0;0;0;5;2;5;3;4;5;1;1;1;2;5;2;2;4;4;3;13000;18000;15000;40;1; ;4;1;6;1
44;1;2;2;2;2;1;4;3;1;5;7;1;0;0;1;0;0;0;0;0;5;2;4;2;4;5;2; ; ;2;5;2;5;4;1;4;16000;21000;19000;35;2;1;6;2;7;1
45;1;4;4;5;4;5;2;3;2;2;6;0;0;1;1;1;0;0;0;0;5;5;2;1;4;3;2; ; ;5;5;5;4;5;1;9;14000;19000;17000;41;2;2;5;1;7;1
46;1;4;4;5;4;5;1;2;1;1;12;0;0;0;1;1;1;0;0;0;4;3;4;4;4;3;2; ; ;4;5;1;1;4;1;1; ;10000;8000;50;1; ;5;3;3;1
47;1;5;5;5;5;4;3;1;1;1;7;0;0;0;1;1;0;0;1;0;5;4;4;1;4;4;2; ; ;5;5;5;4;3;3;2;10000;16000;14000;27;1; ;3;1;4;1
48;1;4;3;5;4;4;3;1;1;5;13;0;0;0;1;1;0;0;0;0;5;3;5;4;5;5;1;1;3;1;3;3;4;5;1;2;13000;18000;14000;39;2;2;6;1;7;2
